Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
327960,00001000,true,Rx,0,8,00,00,02,25,00,00,8B,42,
329227,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
1328033,00001000,true,Rx,0,8,00,00,02,26,00,00,8B,42,
1329341,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
2328209,00001000,true,Rx,0,8,00,00,02,27,00,00,8B,42,
2329985,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
3327974,00001000,true,Rx,0,8,00,00,02,28,00,00,8B,42,
3329364,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
4328014,00001000,true,Rx,0,8,00,00,02,29,00,00,8B,42,
4329479,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
5328020,00001000,true,Rx,0,8,00,00,02,2A,00,00,8B,42,
5329429,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
6328135,00001000,true,Rx,0,8,00,00,02,2B,00,00,8B,42,
6329586,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
7328189,00001000,true,Rx,0,8,00,00,02,2C,00,00,8B,42,
7329579,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
8328211,00001000,true,Rx,0,8,00,00,02,2D,00,00,8B,42,
8329646,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
9328250,00001000,true,Rx,0,8,00,00,02,2E,00,00,8B,42,
9329658,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
10328300,00001000,true,Rx,0,8,00,00,02,2F,00,00,8B,42,
10329727,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
11328336,00001000,true,Rx,0,8,00,00,02,30,00,00,8B,42,
11329772,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
12328366,00001000,true,Rx,0,8,00,00,02,31,00,00,8B,42,
12329795,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
13328432,00001000,true,Rx,0,8,00,00,02,32,00,00,8B,42,
13329829,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
14328500,00001000,true,Rx,0,8,00,00,02,33,00,00,8B,42,
14329892,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
15328505,00001000,true,Rx,0,8,00,00,02,34,00,00,8B,42,
15329760,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
16328559,00001000,true,Rx,0,8,00,00,02,35,00,00,8B,42,
16330002,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
17328552,00001000,true,Rx,0,8,00,00,02,36,00,00,8B,42,
17329982,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
18328633,00001000,true,Rx,0,8,00,00,02,37,00,00,8B,42,
18329904,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
19328698,00001000,true,Rx,0,8,00,00,02,38,00,00,8B,42,
19330100,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
20328772,00001000,true,Rx,0,8,00,00,02,39,00,00,8B,42,
20330227,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
20919726,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
20919924,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20920177,000005A0,false,Rx,0,8,64,01,00,34,48,00,00,30,
20926722,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
20930688,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
20933747,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
20935415,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20935438,000005A0,false,Rx,0,8,64,01,00,E2,55,00,00,30,
20940790,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
20947747,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
20948000,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20948247,000005A0,false,Rx,0,8,64,01,00,90,63,00,00,30,
20955451,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
20955475,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
20961820,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
20962033,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20962284,000005A0,false,Rx,0,8,64,01,00,3E,71,00,00,30,
20968747,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,97,
20975805,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,98,
20976093,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20976285,000005A0,false,Rx,0,8,64,01,00,EC,7E,00,00,30,
20980845,00000570,false,Rx,0,4,00,00,00,00,00,00,00,00,
20981782,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
20982804,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,99,
20989804,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9A,
20990002,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
20990249,000005A0,false,Rx,0,8,64,01,00,9A,8C,00,00,30,
20996812,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9B,
21003752,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9C,
21004008,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21004255,000005A0,false,Rx,0,8,64,01,00,48,9A,00,00,30,
21007008,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21007334,000005D8,false,Rx,0,8,15,04,00,03,01,00,00,00,
21007588,000005D0,false,Rx,0,6,94,47,51,30,24,41,00,00,
21010822,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9D,
21017808,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9E,
21018023,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21018277,000005A0,false,Rx,0,8,64,01,00,F6,A7,00,00,30,
21024812,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,9F,
21030747,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21031835,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
21032088,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21032339,000005A0,false,Rx,0,8,64,01,00,A4,B5,00,00,30,
21038847,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
21045778,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
21046034,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21046284,000005A0,false,Rx,0,8,64,01,00,52,C3,00,00,30,
21052822,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
21055721,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
21055829,00000420,false,Rx,0,8,06,78,78,44,00,00,FF,00,
21059886,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
21060095,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
21060270,000005A0,false,Rx,0,8,64,01,00,00,D1,00,00,30,
21066807,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
