Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
895011,00001000,true,Rx,0,8,00,00,02,EB,00,01,09,1A,
896289,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
1895021,00001000,true,Rx,0,8,00,00,02,EC,00,01,09,1A,
1896280,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
2895042,00001000,true,Rx,0,8,00,00,02,ED,00,01,09,1A,
2896480,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
3895114,00001000,true,Rx,0,8,00,00,02,EE,00,01,09,1A,
3896390,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
4895214,00001000,true,Rx,0,8,00,00,02,EF,00,01,09,1A,
4896642,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
5895179,00001000,true,Rx,0,8,00,00,02,F0,00,01,09,1A,
5896576,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
6291224,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
6292658,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
6292909,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6293159,000005A0,false,Rx,0,8,64,01,00,34,48,00,00,30,
6301196,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
6306702,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
6306973,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6307154,000005A0,false,Rx,0,8,64,01,00,E2,55,00,00,30,
6313700,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
6315312,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
6321216,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
6321239,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
6321255,000005A0,false,Rx,0,8,64,01,00,90,63,00,00,30,
6327752,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
