Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
506600,00001000,true,Rx,0,8,00,00,02,84,00,00,AE,F4,
507832,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
1506702,00001000,true,Rx,0,8,00,00,02,85,00,00,AE,F4,
1508087,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
2506709,00001000,true,Rx,0,8,00,00,02,86,00,00,AE,F4,
2508167,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
3506750,00001000,true,Rx,0,8,00,00,02,87,00,00,AE,F4,
3508182,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
4506745,00001000,true,Rx,0,8,00,00,02,88,00,00,AE,F4,
4508147,00001001,true,Rx,0,8,00,00,00,00,00,00,00,00,
5129401,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,90,
5129609,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5129780,000005A0,false,Rx,0,8,64,01,00,34,48,00,00,30,
5132049,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
5136359,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,91,
5143355,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,92,
5143614,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5143860,000005A0,false,Rx,0,8,64,01,00,E2,55,00,00,30,
5150433,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,93,
5156078,00000320,false,Rx,0,8,02,02,00,01,00,00,00,00,
5157390,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,94,
5157643,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
5157889,000005A0,false,Rx,0,8,64,01,00,90,63,00,00,30,
5164431,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,95,
5171418,000001A0,false,Rx,0,8,00,43,00,00,FE,FE,00,96,
5171630,000004A0,false,Rx,0,8,00,00,00,00,00,00,00,00,
