Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
916751758,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
916758844,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
916765718,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
916772807,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
916779852,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
916786692,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
916793805,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
916800821,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
916807772,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
916814802,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
916821900,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
916829784,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
916835810,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
916842858,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
916849898,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
916856833,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
916863902,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
916870902,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
916877892,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
916884736,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
916891858,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
916898916,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
916905846,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
916912864,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
916919901,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
916926813,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
916933898,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
916940909,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
916947840,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
916954847,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
916961916,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
916970004,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
916975929,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
916982925,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
916990100,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
916996941,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917003918,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917010901,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917018216,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917024901,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
917031982,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,16
917038992,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,17
917045892,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,18
917052991,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,19
917059955,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1A
917067128,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1B
917073958,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1C
917080964,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1D
917087952,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1E
917094952,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,1F
917101981,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,10
917110250,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,11
917116003,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,12
917123060,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,13
917130329,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,14
917137009,000001A0,false,Rx,0,8,0,40,0,0,FE,FE,0,15
