Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
16667232,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
47332,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
67377,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
87349,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
107326,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
127452,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
147338,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
167369,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
187357,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
207438,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
227340,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
247406,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
267390,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
287358,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
307359,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
327337,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
347327,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
367348,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
387399,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
407332,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
427386,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
447434,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
467345,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
487351,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
507354,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
527401,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
547375,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
567377,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
587317,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
607304,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
627334,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
649819,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
667398,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
687535,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
707468,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
727407,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
747420,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
767401,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
787279,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
807442,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
827368,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
847400,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
867398,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
887424,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
907319,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
927309,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
947329,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
967401,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
987484,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1007390,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1027458,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1047288,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1067547,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1087363,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1107327,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1127391,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1147353,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1167453,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1187308,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1207471,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1227328,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1247340,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1267365,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1287313,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1307285,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1327304,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1347328,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1367365,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1387356,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1407316,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1427301,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1447324,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1467278,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1487313,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1507312,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1527315,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1547279,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1567336,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1587326,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1607255,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1627306,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1649100,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1667332,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1687313,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1707332,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1727320,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1747343,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1767351,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
1787373,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1807380,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1827319,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1847306,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
1867270,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1887386,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1907323,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1927324,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
1947299,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1967303,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
1987293,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2007308,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2027528,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2047274,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2067353,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2087289,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2107293,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2127271,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2147262,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2167359,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2187346,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2207314,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2227312,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2247324,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2267357,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2287474,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2307495,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2327515,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2347513,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2367623,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2387627,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2407617,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2427620,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2447723,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2467657,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2487799,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2507783,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2527859,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2548008,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2567911,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2588067,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2608038,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2628059,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2650270,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2667275,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2687289,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2707328,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2727362,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
2747302,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2767293,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2787235,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2807241,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2827215,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
2847258,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2867481,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2887261,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
2907264,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2927247,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2947241,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2967250,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
2987212,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
3007241,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
3027252,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
3047259,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
3067215,288,false,Rx,0,8,8F,7C,D3,0,0,56,7C,0
3087259,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
3107241,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
3127202,288,false,Rx,0,8,DE,7C,D3,0,0,56,7C,0
3147230,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
3167251,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
3187242,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
3207235,288,false,Rx,0,8,0C,7C,D3,0,0,56,7C,0
3227235,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
3247193,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
3267201,288,false,Rx,0,8,75,7C,D3,0,0,56,7C,0
